# B1 - Intermediate Level Words (CEFR B1)
# Format: english|category|partOfSpeech
# Intermediate vocabulary for confident everyday communication
# Abstract Concepts & General
ability|General|noun
absence|General|noun
access|General|noun
achievement|General|noun
advantage|General|noun
alternative|General|noun
amount|General|noun
analysis|General|noun
appearance|General|noun
approach|General|noun
aspect|General|noun
assessment|General|noun
association|General|noun
attempt|General|noun
attitude|General|noun
authority|General|noun
awareness|General|noun
background|General|noun
barrier|General|noun
basis|General|noun
behavior|General|noun
boundary|General|noun
capacity|General|noun
category|General|noun
challenge|General|noun
characteristic|General|noun
circumstance|General|noun
combination|General|noun
commitment|General|noun
community|General|noun
comparison|General|noun
complaint|General|noun
component|General|noun
concept|General|noun
conclusion|General|noun
condition|General|noun
conflict|General|noun
connection|General|noun
consequence|General|noun
consideration|General|noun
construction|General|noun
consumer|General|noun
contact|General|noun
contribution|General|noun
convention|General|noun
cooperation|General|noun
creation|General|noun
crisis|General|noun
criticism|General|noun
culture|General|noun
decline|General|noun
definition|General|noun
demand|General|noun
demonstration|General|noun
detail|General|noun
development|General|noun
difference|General|noun
dimension|General|noun
direction|General|noun
disadvantage|General|noun
disorder|General|noun
distribution|General|noun
document|General|noun
effect|General|noun
element|General|noun
emphasis|General|noun
environment|General|noun
era|General|noun
error|General|noun
essence|General|noun
establishment|General|noun
evaluation|General|noun
evidence|General|noun
evolution|General|noun
exception|General|noun
existence|General|noun
expansion|General|noun
experience|General|noun
explanation|General|noun
expression|General|noun
extent|General|noun
factor|General|noun
feature|General|noun
focus|General|noun
function|General|noun
generation|General|noun
growth|General|noun
identity|General|noun
impact|General|noun
importance|General|noun
impression|General|noun
improvement|General|noun
incident|General|noun
independence|General|noun
individual|General|noun
influence|General|noun
initiative|General|noun
instance|General|noun
institution|General|noun
interaction|General|noun
issue|General|noun
knowledge|General|noun
lack|General|noun
layer|General|noun
limit|General|noun
link|General|noun
location|General|noun
majority|General|noun
manner|General|noun
measurement|General|noun
mechanism|General|noun
method|General|noun
minority|General|noun
model|General|noun
movement|General|noun
notion|General|noun
objective|General|noun
observation|General|noun
opportunity|General|noun
option|General|noun
origin|General|noun
outcome|General|noun
participation|General|noun
pattern|General|noun
percentage|General|noun
perception|General|noun
period|General|noun
perspective|General|noun
phase|General|noun
phenomenon|General|noun
policy|General|noun
position|General|noun
possibility|General|noun
potential|General|noun
practice|General|noun
preference|General|noun
presence|General|noun
principle|General|noun
priority|General|noun
procedure|General|noun
process|General|noun
profession|General|noun
proportion|General|noun
proposal|General|noun
purpose|General|noun
range|General|noun
reality|General|noun
recommendation|General|noun
reduction|General|noun
reference|General|noun
region|General|noun
relation|General|noun
requirement|General|noun
resource|General|noun
response|General|noun
restriction|General|noun
result|General|noun
role|General|noun
security|General|noun
selection|General|noun
sequence|General|noun
series|General|noun
significance|General|noun
similarity|General|noun
situation|General|noun
solution|General|noun
source|General|noun
standard|General|noun
statement|General|noun
status|General|noun
strategy|General|noun
structure|General|noun
substance|General|noun
success|General|noun
supply|General|noun
support|General|noun
surface|General|noun
survey|General|noun
symbol|General|noun
system|General|noun
technique|General|noun
tendency|General|noun
tension|General|noun
theory|General|noun
threat|General|noun
tradition|General|noun
transition|General|noun
trend|General|noun
value|General|noun
variation|General|noun
variety|General|noun
version|General|noun
volume|General|noun
welfare|General|noun
# B1 Adjectives
absolute|Adjectives|adjective
accurate|Adjectives|adjective
actual|Adjectives|adjective
additional|Adjectives|adjective
adequate|Adjectives|adjective
aggressive|Adjectives|adjective
annual|Adjectives|adjective
apparent|Adjectives|adjective
appropriate|Adjectives|adjective
artificial|Adjectives|adjective
automatic|Adjectives|adjective
aware|Adjectives|adjective
basic|Adjectives|adjective
brilliant|Adjectives|adjective
capable|Adjectives|adjective
central|Adjectives|adjective
chemical|Adjectives|adjective
civil|Adjectives|adjective
classical|Adjectives|adjective
clinical|Adjectives|adjective
commercial|Adjectives|adjective
complex|Adjectives|adjective
comprehensive|Adjectives|adjective
confident|Adjectives|adjective
conscious|Adjectives|adjective
considerable|Adjectives|adjective
